#TYPE Selected.Microsoft.PowerShell.Commands.MatchInfo
"LineNumber","Line"
"147",".section-label {"
"1276",".consulting-header .section-label {"
"1466",".consulting-cta-text .section-label {"
"1566",".advantage-header .section-label {"
"1604",".industries-premium-header .section-label,"
"2001",".mission-section+.why-section .section-label {"
"2217",".services-header .section-label {"
"4649",".home-page .advantage-header .section-label {"
"7525",".cybersecurity-page .section-label,"
"10334",".section-label-ot {"
"10346",".section-label-ot::before {"
"13620",".section-label,"
"15352",".home-page .cyber-industries-section .section-label,"
"15353",".sw-page .cyber-industries-section .section-label {"
